areaAsM2,minRange,maxRange,avEchoStrength,minEchoStrength,maxEchoStrength,cluster
0,2399.396973,2399.396973,3,2,6,2
0,3568.333984,3568.333984,6,1,12,2
0,4060.517822,4060.517822,2,1,4,2
0,14642.47363,14642.47363,8,6,11,2
0,33222.41797,33222.41797,1,1,1,0
0,12858.30664,12858.30664,1,1,2,2
0,14273.33594,14273.33594,1,1,1,2
0,11689.37012,11689.37012,2,1,4,2
0,59308.17188,59308.17188,1,1,1,1
0,3568.333984,3568.333984,5,1,10,2
0,4245.086914,4245.086914,1,1,1,2
0,52540.64063,52540.64063,1,1,1,1
0,5660.115723,5660.115723,1,1,2,2
0,5844.685059,5844.685059,1,1,1,2
0,18087.76172,18087.76172,2,1,5,0
0,18272.33008,18272.33008,2,2,2,0
0,58077.71094,58077.71094,1,1,1,1
0,58323.80469,58323.80469,1,1,2,1
0,4183.563965,4183.563965,1,1,1,2
0,11750.89258,11750.89258,1,1,1,2
0,57831.61719,57831.61719,1,1,1,1
0,58077.71094,58077.71094,1,1,1,1
0,4060.517822,4060.517822,4,1,7,2
0,56478.11328,56478.11328,2,2,2,1
0,11935.46191,11935.46191,1,1,2,2
0,24178.53906,24178.53906,1,1,1,0
0,12181.55371,12181.55371,1,1,2,2
0,16857.30078,16857.30078,1,1,1,0
0,34760.49609,34760.49609,1,1,1,0
0,56601.16016,56601.16016,1,1,1,1
0,59800.35547,59800.35547,2,1,7,1
0,16980.34766,16980.34766,4,3,6,0
0,17103.39453,17103.39453,5,2,11,0
0,17534.05469,17534.05469,1,1,2,0
0,18272.33008,18272.33008,1,1,1,0
0,17287.96289,17287.96289,2,2,2,0
0,60292.53906,60292.53906,1,1,1,1
0,4122.041016,4122.041016,1,1,1,2
0,18272.33008,18272.33008,1,1,1,0
0,17718.62305,17718.62305,2,2,2,0
0,12243.07715,12243.07715,2,2,2,2
0,62261.27344,62261.27344,1,1,1,1
0,5352.500977,5352.500977,1,1,1,2
0,10397.38672,10397.38672,1,1,1,2
0,60292.53906,60292.53906,1,1,1,1
0,553.7069702,553.7069702,4,1,6,2
0,3322.241943,3322.241943,1,1,2,2
0,3199.196045,3199.196045,4,1,12,2
0,62261.27344,62261.27344,1,1,1,1
0,10889.57031,10889.57031,1,1,1,2
0,1107.41394,1107.41394,8,3,13,2
0,60661.67578,60661.67578,3,1,7,1
0,17472.53125,17472.53125,3,1,8,0
0,60046.44531,60046.44531,1,1,1,1
0,11935.46191,11935.46191,1,1,2,2
0,54386.33203,54386.33203,1,1,2,1
0,59923.40234,59923.40234,2,2,2,1
0,59923.40234,59923.40234,3,1,6,1
0,60231.01563,60231.01563,1,1,1,1
0,60415.58594,60415.58594,2,2,3,1
0,49095.35156,49095.35156,1,1,1,1
0,12058.50781,12058.50781,1,1,1,2
0,13658.10547,13658.10547,2,2,2,2
0,60231.01563,60231.01563,1,1,1,1
0,60907.76953,60907.76953,1,1,1,1
0,12181.55371,12181.55371,1,1,1,2
0,12366.12305,12366.12305,1,1,1,2
0,30884.54492,30884.54492,1,1,1,0
0,50694.94922,50694.94922,1,1,2,1
0,59800.35547,59800.35547,1,1,1,1
0,12304.59961,12304.59961,2,1,4,2
0,60538.62891,60538.62891,2,1,5,1
0,4183.563965,4183.563965,4,3,6,2
0,24055.49219,24055.49219,1,1,1,0
0,5844.685059,5844.685059,1,1,1,2
0,52663.6875,52663.6875,1,1,1,1
0,60415.58594,60415.58594,1,1,1,1
0,59923.40234,59923.40234,1,1,1,1
0,8551.697266,8551.697266,1,1,1,2
0,13965.7207,13965.7207,1,1,1,2
0,30453.88477,30453.88477,1,1,1,0
0,55493.74609,55493.74609,1,1,1,1
0,60661.67578,60661.67578,2,1,3,1
0,44788.74219,44788.74219,1,1,1,1
0,60538.62891,60538.62891,1,1,1,1
0,61276.90625,61276.90625,1,1,2,1
0,553.7069702,553.7069702,4,1,6,2
0,57339.43359,57339.43359,1,1,1,1
0,12304.59961,12304.59961,1,1,2,2
0,12489.16895,12489.16895,4,4,4,2
0,52786.73438,52786.73438,1,1,1,1
0,61769.08984,61769.08984,1,1,1,1
0,5414.023926,5414.023926,1,1,1,2
0,49587.53516,49587.53516,1,1,1,1
0,5414.023926,5414.023926,2,1,4,2
0,6029.253906,6029.253906,1,1,1,2
0,6213.822754,6213.822754,1,1,1,2
0,59308.17188,59308.17188,1,1,1,1
0,60907.76953,60907.76953,2,1,4,1
0,47249.66406,47249.66406,1,1,1,1
0,61030.81641,61030.81641,2,1,5,1
0,55862.88281,55862.88281,1,1,1,1
0,40112.99609,40112.99609,1,1,1,1
0,60415.58594,60415.58594,1,1,1,1
0,33530.03516,33530.03516,1,1,1,0
0,12427.64551,12427.64551,1,1,2,2
0,61338.42969,61338.42969,2,2,2,1
0,553.7069702,553.7069702,5,1,9,2
0,12550.69141,12550.69141,5,2,8,2
0,54263.28516,54263.28516,2,2,2,1
0,6090.776855,6090.776855,3,3,3,2
0,61523.0,61523.0,1,1,1,1
0,54263.28516,54263.28516,1,1,1,1
0,369.1380005,369.1380005,1,1,1,2
0,13227.44434,13227.44434,3,3,3,2
0,29346.4707,29346.4707,1,1,1,0
0,61769.08984,61769.08984,1,1,2,1
0,12673.7373,12673.7373,2,1,3,2
0,33037.85156,33037.85156,1,1,1,0
0,12796.78418,12796.78418,1,1,2,2
0,13165.92188,13165.92188,2,1,5,2
0,43189.14453,43189.14453,1,1,1,1
0,61646.04297,61646.04297,1,1,2,1
0,23255.69336,23255.69336,1,1,2,0
0,13288.96777,13288.96777,4,1,6,2
0,61830.61328,61830.61328,1,1,1,1
0,24301.58398,24301.58398,2,1,3,0
0,28854.28711,28854.28711,1,1,1,0
0,13165.92188,13165.92188,1,1,1,2
0,23809.40039,23809.40039,2,2,2,0
0,13535.05957,13535.05957,1,1,1,2
0,22517.41797,22517.41797,2,1,4,0
0,22394.37109,22394.37109,1,1,1,0
0,11504.80078,11504.80078,1,1,1,2
0,40728.22656,40728.22656,1,1,1,1
